Ticker,Current Price,Intrinsic Value,Undervalued
BABA,83.12999725341797,1900281835818.081,True
CVS,58.0099983215332,26037111849.676132,True
VOW3.DE,81.80000305175781,313255876623.40686,True
BAYN.DE,19.802000045776367,44290188824.86623,True
WBD,10.109999656677246,269721287705.98544,True
CEZ.PR,961.5,1238698882699.879,True
EEFT,105.51000213623047,36707582108.75144,True
BIDU,80.33000183105469,419276819354.6356,True
RYAAY,42.97999954223633,16886799558.23748,True
P911.DE,57.68000030517578,79753931830.2757,True
HAL,31.940000534057617,24544146931.34348,True
PFE,25.649999618530273,151900055756.67413,True
EVO.ST,983.5999755859375,27157080545.643837,True
TUI1.DE,7.423999786376953,25432015027.462593,True
