Ticker,Current Price,Intrinsic Value,Undervalued
BABA,83.12999725341797,883.5153881615674,True
CVS,58.0099983215332,726.5686600584727,True
VOW3.DE,81.80000305175781,1319.5013770292228,True
2318.HK,44.70000076293945,391.64181045651196,True
BAYN.DE,19.802000045776367,32.878444575860016,True
WBD,10.109999656677246,23.473805300116485,True
CEZ.PR,961.5,3110.414065103281,True
EEFT,105.51000213623047,183.28889429848226,True
BIDU,80.33000183105469,1124.2136429117786,True
RYAAY,42.97999954223633,32.48798900454546,False
P911.DE,57.68000030517578,110.84408716147256,True
HAL,31.940000534057617,22.5545136184938,False
PFE,25.649999618530273,41.64976934210549,True
EVO.ST,983.5999755859375,30.978688246628128,False
TUI1.DE,7.423999786376953,132.07673515873444,True
AAPL,229.8699951171875,122.38738413344817,False
